127.0.0.1 - - [21/Mar/2018:10:40:46 -0600] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:40:47 -0600] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:40:48 -0600] "GET /joappWeb/login.xhtml HTTP/1.1" 200 6547
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:40:48 -0600] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:40:48 -0600] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:40:49 -0600] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:40:49 -0600] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:06 -0600] "POST /joappWeb/login.xhtml HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:06 -0600] "GET /joappWeb/index.xhtml HTTP/1.1" 200 13760
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:06 -0600] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:06 -0600] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:08 -0600] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:08 -0600] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:09 -0600] "GET /joappWeb/home/dashCursos.xhtml HTTP/1.1" 200 24150
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:09 -0600] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:09 -0600] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:09 -0600] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:09 -0600] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:13 -0600] "POST /joappWeb/home/dashCursos.xhtml HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:13 -0600] "POST /joappWeb/home/dashCursos.xhtml HTTP/1.1" 200 23055
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:15 -0600] "POST /joappWeb/home/dashCursos.xhtml HTTP/1.1" 200 10802
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:15 -0600] "POST /joappWeb/home/dashCursos.xhtml HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [21/Mar/2018:10:43:16 -0600] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 18390
