127.0.0.1 - - [28/May/2018:12:50:13 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [28/May/2018:12:50:14 -0500] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2018:12:50:14 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 8267
0:0:0:0:0:0:0:1 - - [28/May/2018:12:50:14 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [28/May/2018:12:50:14 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [28/May/2018:12:50:15 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [28/May/2018:12:50:15 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:34 -0500] "POST /joappWeb/login.xhtml HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:34 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 17108
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:34 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:34 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:34 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:34 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:41 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 19452
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:41 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:41 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:41 -0500] "GET /assets/images/user-card/img-round4.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:41 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:41 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:53 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 19452
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:53 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:53 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:53 -0500] "GET /assets/images/user-card/img-round4.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:53 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:12:51:53 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:13:14:32 -0500] "POST /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 31707
0:0:0:0:0:0:0:1 - - [28/May/2018:13:14:32 -0500] "GET /joappWeb/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:13:14:32 -0500] "GET /joappWeb/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:13:14:32 -0500] "GET /joappWeb/javax.faces.resource/images/ui-bg_flat_0_2d5972_40x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:13:14:32 -0500] "POST /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [28/May/2018:13:15:02 -0500] "POST /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [28/May/2018:13:20:01 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 18333
0:0:0:0:0:0:0:1 - - [28/May/2018:13:20:02 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:13:20:02 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:13:20:02 -0500] "GET /css/general.css HTTP/1.1" 404 991
