10.1.18.136 - - [18/Jul/2018:12:00:39 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:04 -0500] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:04 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 8380
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:04 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:04 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:04 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:04 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:23 -0500] "POST /joappWeb/login.xhtml HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:23 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62633
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:29 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:30 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 13764
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:33 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:33 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 24694
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:41 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 11440
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:47 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:47 -0500] "GET /joappWeb/home/RES_NOT_FOUND HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:47 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 69493
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:34:48 -0500] "GET /joappWeb/home/images/headset_icono.png HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/theme.css.xhtml?ln=primefaces-ecuador-indigo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/core.js.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/components.js.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/schedule/schedule.css.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=primefaces&v=6.2 HTTP/1.1" 200 13987
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/components.css.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=primefaces&v=6.2 HTTP/1.1" 200 85471
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/js/nanoscroller.js.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 28871
