127.0.0.1 - - [23/Aug/2018:13:53:05 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:06 -0500] "GET /PrototypeGob/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/login.xhtml HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/javax.faces.resource/theme.css.xhtml?ln=primefaces-afterwork HTTP/1.1" 200 19164
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 200 313177
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/css/custom.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/css/general.css HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/js/bootstrap.js HTTP/1.1" 200 68890
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 200 236815
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/css/bootstrap.css HTTP/1.1" 200 157052
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 200 58799
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/images/logoSCT_hoz3.png HTTP/1.1" 200 114177
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/images/coordinacion_285x118.png HTTP/1.1" 200 40746
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/images/candado_gris_64.png?pfdrid_c=true HTTP/1.1" 200 2930
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/images/ajax-loader.gif HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/css/custom.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:07 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:18 -0500] "POST /PrototypeGob/login.xhtml HTTP/1.1" 200 3762
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:18 -0500] "GET /PrototypeGob/javax.faces.resource/images/ui-icons-dark.png.xhtml?ln=primefaces-afterwork HTTP/1.1" 200 21769
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:18 -0500] "GET /PrototypeGob/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [23/Aug/2018:13:53:55 -0500] "POST /PrototypeGob/login.xhtml HTTP/1.1" 200 3741
