127.0.0.1 - - [25/Sep/2018:18:55:52 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:53 -0500] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 7364
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31333
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/bower_components/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/assets/icon/icofont/css/icofont.css HTTP/1.1" 200 108688
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/bower_components/bootstrap/css/bootstrap.css HTTP/1.1" 200 156884
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/images/ajax-loader-login.gif HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/css/login.css HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/assets/css/style.css HTTP/1.1" 200 636697
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:54 -0500] "GET /joappWeb/js/fontawesome/fontawesome-all.js HTTP/1.1" 200 720055
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:55:55 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 7364
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/javax.faces.resource/theme.css.xhtml?ln=primefaces-ecuador-indigo HTTP/1.1" 200 177605
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31333
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/assets/icon/icofont/css/icofont.css HTTP/1.1" 200 108688
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/assets/css/style.css HTTP/1.1" 200 636697
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/css/login.css HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/js/fontawesome/fontawesome-all.js HTTP/1.1" 200 720055
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/bower_components/bootstrap/css/bootstrap.css HTTP/1.1" 200 156884
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/bower_components/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/images/ajax-loader-login.gif HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:47 -0500] "GET /joappWeb/images/headset_icono.png HTTP/1.1" 200 4770
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:51 -0500] "POST /joappWeb/login.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:21 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 7364
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/javax.faces.resource/theme.css.xhtml?ln=primefaces-ecuador-indigo HTTP/1.1" 200 177605
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31333
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/bower_components/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/bower_components/bootstrap/css/bootstrap.css HTTP/1.1" 200 156884
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/assets/icon/icofont/css/icofont.css HTTP/1.1" 200 108688
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/css/login.css HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/assets/css/style.css HTTP/1.1" 200 636697
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/images/ajax-loader-login.gif HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/js/fontawesome/fontawesome-all.js HTTP/1.1" 200 720055
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:22 -0500] "GET /joappWeb/images/headset_icono.png HTTP/1.1" 200 4770
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:23 -0500] "POST /joappWeb/login.xhtml HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:25 -0500] "GET /joappWeb/bower_components/css/tableBootStrap.css HTTP/1.1" 200 5099
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:25 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 77596
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:25 -0500] "GET /joappWeb/javax.faces.resource/images/icon-users.png.xhtml?ln=ecuador-layout HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:25 -0500] "GET /joappWeb/assets/images/widget/swing_1.jpg HTTP/1.1" 200 43188
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:25 -0500] "GET /joappWeb/assets/images/widget/java_1.jpg HTTP/1.1" 200 76463
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:25 -0500] "GET /joappWeb/assets/images/widget/jdbc_1.jpg HTTP/1.1" 200 106517
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:25 -0500] "GET /joappWeb/assets/images/widget/mysql_1.jpg HTTP/1.1" 200 68030
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:25 -0500] "GET /joappWeb/assets/icon/icofont/fonts/icofont.ttf?v=1.0.0-beta HTTP/1.1" 200 1018620
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:30 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:30 -0500] "GET /joappWeb/home/contenidoCurso.xhtml HTTP/1.1" 200 47483
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:31 -0500] "GET /joappWeb/home/images/headset_icono.png HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [25/Sep/2018:19:20:31 -0500] "GET /joappWeb/home/assets/images/favicon.ico HTTP/1.1" 404 1039
