127.0.0.1 - - [05/Dec/2018:17:03:35 -0600] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:36 -0600] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/login.xhtml HTTP/1.1" 200 7599
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31333
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/javax.faces.resource/theme.css.xhtml?ln=primefaces-ecuador-indigo HTTP/1.1" 200 177605
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/bower_components/bootstrap/css/bootstrap.css HTTP/1.1" 200 156884
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/bower_components/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/css/login.css HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/assets/icon/icofont/css/icofont.css HTTP/1.1" 200 108688
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/assets/css/style.css HTTP/1.1" 200 636697
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/js/fontawesome/fontawesome-all.js HTTP/1.1" 200 720055
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:37 -0600] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:38 -0600] "GET /joappWeb/images/headset_icono.png HTTP/1.1" 200 4770
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:42 -0600] "POST /joappWeb/login.xhtml HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:03:42 -0600] "GET /joappWeb/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=6.2?v=4.7.0 HTTP/1.1" 200 77244
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:06:37 -0600] "GET /joappWeb/login.xhtml HTTP/1.1" 200 7599
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:06:37 -0600] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [05/Dec/2018:17:06:37 -0600] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
