127.0.0.1 - - [05/Apr/2019:20:21:22 -0600] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/main/css/perfect-scrollbar.css.xhtml HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/theme.css.xhtml?ln=primefaces-omega HTTP/1.1" 200 34301
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 31357
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/main/css/sh.css.xhtml HTTP/1.1" 200 9160
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/main/css/showcase.css.xhtml HTTP/1.1" 200 20147
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 31198
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/validation/validation.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 24353
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 248533
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/validation/beanvalidation.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 6108
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/main/js/perfect-scrollbar.js.xhtml HTTP/1.1" 200 20140
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/main/js/showcase.js.xhtml HTTP/1.1" 200 10031
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/logo.svg.xhtml HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/logoBlue.svg.xhtml HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/ HTTP/1.1" 404 40036
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/zoom.svg.xhtml HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/ajaxCore.svg.xhtml HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/main/js/sh.js.xhtml HTTP/1.1" 200 30373
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/input.svg.xhtml HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:23 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/ajaxCoreBlue.svg.xhtml HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/inputBlue.svg.xhtml HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/button.svg.xhtml HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/buttonBlue.svg.xhtml HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/fonts/lato-regular-webfont.woff.xhtml HTTP/1.1" 200 36652
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/data.svg.xhtml HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/dataBlue.svg.xhtml HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/panel.svg.xhtml HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/panelBlue.svg.xhtml HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/overlay.svg.xhtml HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/overlayBlue.svg.xhtml HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/menu.svg.xhtml HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/menuBlue.svg.xhtml HTTP/1.1" 200 2906
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/charts.svg.xhtml HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/chartsBlue.svg.xhtml HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/message.svg.xhtml HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/messageBlue.svg.xhtml HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/multimedia.svg.xhtml HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/multimediaBlue.svg.xhtml HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/file.svg.xhtml HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/fileBlue.svg.xhtml HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/dragdropBlue.svg.xhtml HTTP/1.1" 200 14939
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/dragdrop.svg.xhtml HTTP/1.1" 200 15371
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/clientSideValidation.svg.xhtml HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/clientSideValidationBlue.svg.xhtml HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/dialogFramework.svg.xhtml HTTP/1.1" 200 2531
