0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:10:23 -0500] "GET /SAO/ReportAgendaExcel?param_anio=2018&param_id_cliente=0&param_fecha_ini=2018-06-07&param_fecha_fin=2018-06-07&param_id_estatus=0 HTTP/1.1" 200 14159
127.0.0.1 - - [08/Jun/2018:00:18:35 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:18:36 -0500] "GET /SAO/ HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:18:36 -0500] "GET /SAO/home/login.jsp HTTP/1.1" 200 5717
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:18:36 -0500] "GET /SAO/home/img/images/close.png HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:18:36 -0500] "GET /SAO/home/img/images/loading.gif HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:18:36 -0500] "GET /SAO/home/img/images/prev.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:18:36 -0500] "GET /SAO/home/img/images/next.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:18:43 -0500] "POST /SAO/home/login.jsp HTTP/1.1" 200 5770
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:18:43 -0500] "GET /SAO/home/img/images/close.png HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:18:43 -0500] "GET /SAO/home/img/images/loading.gif HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:18:43 -0500] "GET /SAO/home/img/images/prev.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:18:43 -0500] "GET /SAO/home/img/images/next.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:18:43 -0500] "GET /SAO/home/main.jsp HTTP/1.1" 200 21637
