127.0.0.1 - - [21/Jun/2018:22:14:54 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:14:55 -0500] "GET /SAO/ HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:14:55 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:14:55 -0500] "GET /SAO/home/login.jsp HTTP/1.1" 200 5717
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:14:55 -0500] "GET /SAO/img/Logo-Omnilingua-Smaller.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:14:56 -0500] "GET /SAO/home/loginFiles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:14:56 -0500] "GET /SAO/home/vendors/sweet_alert/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:14:56 -0500] "GET /SAO/home/loginFiles/lightbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:14:56 -0500] "GET /SAO/home/loginFiles/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:14:56 -0500] "GET /SAO/home/loginFiles/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:14:56 -0500] "GET /SAO/home/loginFiles/jquery.nav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:14:56 -0500] "GET /SAO/home/vendors/sweet_alert/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:14:56 -0500] "GET /SAO/home/loginFiles/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:15:05 -0500] "GET /SAO/home/img/images/prev.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:15:05 -0500] "GET /SAO/home/img/images/loading.gif HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:15:05 -0500] "GET /SAO/home/img/images/next.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:15:05 -0500] "GET /SAO/home/img/images/close.png HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:15:05 -0500] "GET /SAO/home/img/Omnilingua-Slider-8-1200x480.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:50 -0500] "POST /SAO/home/login.jsp HTTP/1.1" 200 5770
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:56 -0500] "GET /SAO/home/img/images/close.png HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:56 -0500] "GET /SAO/home/img/images/next.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:56 -0500] "GET /SAO/home/img/images/prev.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:56 -0500] "GET /SAO/home/img/images/loading.gif HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:57 -0500] "GET /SAO/home/main.jsp HTTP/1.1" 200 21637
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:57 -0500] "GET /SAO/home/build/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:57 -0500] "GET /SAO/home/vendors/nprogress/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:57 -0500] "GET /SAO/home/vendors/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:57 -0500] "GET /SAO/home/vendors/jqvmap/dist/jqvmap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:57 -0500] "GET /SAO/home/vendors/bootstrap-progressbar/css/bootstrap-progressbar-3.3.4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:57 -0500] "GET /SAO/home/vendors/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:57 -0500] "GET /SAO/home/vendors/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:57 -0500] "GET /SAO/home/vendors/fastclick/lib/fastclick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:57 -0500] "GET /SAO/home/vendors/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:57 -0500] "GET /SAO/home/vendors/nprogress/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:58 -0500] "GET /SAO/home/vendors/jqvmap/dist/jquery.vmap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:58 -0500] "GET /SAO/home/vendors/skycons/skycons.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:58 -0500] "GET /SAO/home/vendors/bootstrap-progressbar/bootstrap-progressbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:58 -0500] "GET /SAO/img/SLogo-Omnilingua.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:58 -0500] "GET /SAO/home/vendors/jqvmap/examples/js/jquery.vmap.sampledata.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:58 -0500] "GET /SAO/home/build/js/custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:58 -0500] "GET /SAO/ProfilePhotoServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:58 -0500] "GET /SAO/home/vendors/jqvmap/dist/maps/jquery.vmap.world.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:58 -0500] "GET /SAO/home/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:17:58 -0500] "GET /SAO/home/vendors/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:01 -0500] "GET /SAO/home/adm_entity_list.jsp?ec=28 HTTP/1.1" 200 26363
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:01 -0500] "GET /SAO/home/vendors/datatables.net-responsive-bs/css/responsive.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:01 -0500] "GET /SAO/home/vendors/datatables.net-fixedheader-bs/css/fixedHeader.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:01 -0500] "GET /SAO/home/vendors/datatables.net-scroller-bs/css/scroller.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:01 -0500] "GET /SAO/home/vendors/datatables.net-buttons-bs/css/buttons.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:01 -0500] "GET /SAO/home/vendors/datatables.net/js/jquery.dataTables.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:01 -0500] "GET /SAO/home/vendors/datatables.net-bs/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/datatables.net-bs/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/datatables.net-buttons/js/buttons.flash.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/datatables.net-buttons/js/buttons.html5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/datatables.net-buttons/js/dataTables.buttons.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/datatables.net-buttons-bs/js/buttons.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/ProfilePhotoServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/datatables.net-buttons/js/buttons.print.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/datatables.net-responsive-bs/js/responsive.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/datatables.net-keytable/js/dataTables.keyTable.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2018:22:18:02 -0500] "GET /SAO/home/vendors/datatables.net-responsive/js/dataTables.responsive.min.js HTTP/1.1" 304 -
